*,sth,st,h
*,pn,p,n
*,tn,t,n
*,cn,c,n
*,hn,h,n
*,chne,ch,ne
*,ntw,nt,w
*,pheit,p,heit
*,phei,p,hei
*,tli,t,li
*,tlü,t,lü
*,chm,ch,m
*,schl,sch,l
*,tm,t,m
*,tl,t,l
*,dl,d,l
*,tl,t,l
*,ql,q,l
*,xl,x,l
*,hl,h,l
*,zl,z,l
*,jl,j,l
*,bm,b,m
*,cm,c,m
*,dm,d,m
*,gm,g,m
*,tm,t,m
*,km,k,m
*,pm,p,m
*,qm,q,m
*,vm,v,m
*,xm,x,m
*,hm,h,m
*,fm,f,m
*,zm,z,m
*,jm,j,m
*,bn,b,n
*,cn,c,n
*,gn,g,n
*,tn,t,n
*,pn,p,n
*,qn,q,n
*,vn,v,n
*,xn,x,n
*,hn,h,n
*,fn,f,n
*,zn,z,n
*,jn,j,n
*,qr,q,r
*,xr,x,r
*,hr,h,r
*,sr,s,r
*,zr,z,r
*,jr,j,r
*,bw,b,w
*,cw,c,w
*,kw,k,w
*,pw,p,w
*,qw,q,w
*,vw,v,w
*,xw,x,w
*,hw,h,w
*,fw,f,w
*,jw,j,w
an,twu,ant,wu
rs,t,r,st
ges,*,ge,s
s,t,*,st
s,p,*,sp
be,ste,bes,te
ge,ste,ges,te
te,st,tes,t
de,st,des,t
